project_id,title,description,country,budget,hourly_low,hourly_high,is_hourly,project_text
11,technical fashion designer with 3d skills for long term work,"**job listing: technical designer and 3d clothes artist**$1,200 / monthlong term contract work, potential full time workare you a skilled technical designer and 3d clothes artist ready to take on exciting challenges in the world of fashion? we are seeking a talented individual who excels in creating tech packs, sewing patterns, and size grading, while also possessing expertise in 3d clothes visualization and virtual fitting.**key expertise:**- proficiency in clo 3d modeling and visualization design- expertise in 3d apparel development, animation, rendering, and mockup- strong pattern-making skills and fashion design flair**responsibilities:**- manage design tasks from a trello board. training provided.- create comprehensive tech packs, sewing patterns, and size grading for manufacturing processes.- utilize advanced 3d modeling techniques to visualize and virtually fit garments- combine technical expertise with creative design to bring innovative ideas to life- design a wide range of garments including spor...",United States,1200,0,0,FALSE,"technical fashion designer with 3d skills for long term work **job listing: technical designer and 3d clothes artist**$1,200 / monthlong term contract work, potential full time workare you a skilled technical designer and 3d clothes artist ready to take on exciting challenges in the world of fashion? we are seeking a talented individual who excels in creating tech packs, sewing patterns, and size grading, while also possessing expertise in 3d clothes visualization and virtual fitting.**key expertise:**- proficiency in clo 3d modeling and visualization design- expertise in 3d apparel development, animation, rendering, and mockup- strong pattern-making skills and fashion design flair**responsibilities:**- manage design tasks from a trello board. training provided.- create comprehensive tech packs, sewing patterns, and size grading for manufacturing processes.- utilize advanced 3d modeling techniques to visualize and virtually fit garments- combine technical expertise with creative design to bring innovative ..."
12,affiliate marketing,"we are looking for an affiliate marketing professional to :-provide an affiliate marketing plan customised for our site. the plan will include feedback and recommendations on how to improve traffic and conversions.-to have a good understanding of the current affiliate network that our site is working with (involve asia) and to be able to help implement the features (shoplink and datafeed) to the site-to provide the execution of the plan, as well as to demonstrate how the execution is done (for eg showing via videos the installing of codes/scripts)posted on: february 17, 2024 09:04 utccategory: campaign managementskills:lead generation,     affiliate marketing,     campaign optimizationskills:        lead generation,                     affiliate marketing,                     campaign optimizationcountry: singaporeclick to apply",Singapore,0,0,0,null,"affiliate marketing we are looking for an affiliate marketing professional to :-provide an affiliate marketing plan customised for our site. the plan will include feedback and recommendations on how to improve traffic and conversions.-to have a good understanding of the current affiliate network that our site is working with (involve asia) and to be able to help implement the features (shoplink and datafeed) to the site-to provide the execution of the plan, as well as to demonstrate how the execution is done (for eg showing via videos the installing of codes/scripts)posted on: february 17, 2024 09:04 utccategory: campaign managementskills:lead generation,     affiliate marketing,     campaign optimizationskills:        lead generation,                     affiliate marketing,                     campaign optimizationcountry: singaporeclick to apply"
13,urgent: fix emails not working on discourse installation,"urgentquick job for a discourse forum expert.the forums were upgraded yesterday after not being upgraded for a while. everything is fine except emails are not sending anymore.discourse doctor says authentication error, but it should be all okay so just need someone to go in and fix the issue or tell me what the issue is so we can take action.if you've done this sort of thing in discourse forums before please get in touch and hopefully you could do it today - i would say no more than 30 minutes job. thanks! :)hourly range: $40.00-$75.00posted on: february 17, 2024 09:04 utccategory: systems administrationskills:discourse,     ruby,     html,     python,     ruby on rails,     linux system administration,     smtp,     user authenticationskills:        discourse,                     ruby,                     html,                     python,                     ruby on rails,                     linux system administration,                     smtp,                     user authenticationcountry: united king...",United Kingdom,0,40,75,TRUE,"urgent: fix emails not working on discourse installation urgentquick job for a discourse forum expert.the forums were upgraded yesterday after not being upgraded for a while. everything is fine except emails are not sending anymore.discourse doctor says authentication error, but it should be all okay so just need someone to go in and fix the issue or tell me what the issue is so we can take action.if you've done this sort of thing in discourse forums before please get in touch and hopefully you could do it today - i would say no more than 30 minutes job. thanks! :)hourly range: $40.00-$75.00posted on: february 17, 2024 09:04 utccategory: systems administrationskills:discourse,     ruby,     html,     python,     ruby on rails,     linux system administration,     smtp,     user authenticationskills:        discourse,                     ruby,                     html,                     python,                     ruby on rails,                     linux system administration,                     smtp,   ..."
14,us located so-me manager,"my name is marcello, and i am the partner at nordic trading.we are an established company with significant success in our home country, denmark, and we are now seeking to expand by welcoming new team members as we go global.the primary responsibility for the job is to upload videos to our profiles and actively engage with our audience.this entails posting two videos daily across three different profiles on all five major platforms: instagram, tiktok, youtube.requirements:● it is not mandatory to have experience with social media management.● applicants must be located in the united states.● proficiency in english is a must.● the ability to be precise and consistent with every upload is essential.● availability to work 1 hours a day is required.to be considered for the position, you must submit an application before we schedule a job interview.● name, age, and location● a brief description of yourself, including hobbies and dreams● your current profession● the duration of your experience in your current pro...",Denmark,300,0,0,FALSE,"us located so-me manager my name is marcello, and i am the partner at nordic trading.we are an established company with significant success in our home country, denmark, and we are now seeking to expand by welcoming new team members as we go global.the primary responsibility for the job is to upload videos to our profiles and actively engage with our audience.this entails posting two videos daily across three different profiles on all five major platforms: instagram, tiktok, youtube.requirements:● it is not mandatory to have experience with social media management.● applicants must be located in the united states.● proficiency in english is a must.● the ability to be precise and consistent with every upload is essential.● availability to work 1 hours a day is required.to be considered for the position, you must submit an application before we schedule a job interview.● name, age, and location● a brief description of yourself, including hobbies and dreams● your current profession● the duration of your exper..."
15,web3 full-stack developer,"we are looking for a web3 full-stack developer to develop our dapp in evm-compatible chains. you'll need to build the whole dapp with us, starting from scratch.requirements:- good english spoken and written level- familiar with solidity, hardhat/foundry- expert on next.js, react.js and node.js- have experience on integration with popular wallet like metamask, okx wallet, etc- figma ui/ux recommended.hourly range: $30.00-$50.00posted on: february 17, 2024 09:04 utccategory: full stack developmentskills:next.js,     web application,     javascript,     css,     react,     solidity,     node.js,     ethereumskills:        next.js,                     web application,                     javascript,                     css,                     react,                     solidity,                     node.js,                     ethereumcountry: malaysiaclick to apply",Malaysia,0,30,50,TRUE,"web3 full-stack developer we are looking for a web3 full-stack developer to develop our dapp in evm-compatible chains. you'll need to build the whole dapp with us, starting from scratch.requirements:- good english spoken and written level- familiar with solidity, hardhat/foundry- expert on next.js, react.js and node.js- have experience on integration with popular wallet like metamask, okx wallet, etc- figma ui/ux recommended.hourly range: $30.00-$50.00posted on: february 17, 2024 09:04 utccategory: full stack developmentskills:next.js,     web application,     javascript,     css,     react,     solidity,     node.js,     ethereumskills:        next.js,                     web application,                     javascript,                     css,                     react,                     solidity,                     node.js,                     ethereumcountry: malaysiaclick to apply"
16,shopify store speed optimization,"we are seeking a skilled shopify store speed optimization expert to enhance the performance and loading speed of our e-commerce website. the ideal candidate will have a proven track record of successfully optimizing shopify stores to improve page load times, reduce bounce rates, and enhance overall user experience. responsibilities include analyzing website performance, identifying areas for improvement, implementing optimization strategies, and testing for effectiveness. familiarity with shopify best practices, optimization tools, and techniques is essential. immediate availability is preferred. please include relevant experience and propose a brief outline of your approach to ensure a faster and more responsive shopify store.budget: $5posted on: february 17, 2024 09:03 utccategory: ecommerce website developmentskills:web development,     page speed optimization,     search engine optimization,     shopify templates,     html,     css,     shopify,     ecommerce website development,     shopify theme,    ...",United States,5,0,0,FALSE,"shopify store speed optimization we are seeking a skilled shopify store speed optimization expert to enhance the performance and loading speed of our e-commerce website. the ideal candidate will have a proven track record of successfully optimizing shopify stores to improve page load times, reduce bounce rates, and enhance overall user experience. responsibilities include analyzing website performance, identifying areas for improvement, implementing optimization strategies, and testing for effectiveness. familiarity with shopify best practices, optimization tools, and techniques is essential. immediate availability is preferred. please include relevant experience and propose a brief outline of your approach to ensure a faster and more responsive shopify store.budget: $5posted on: february 17, 2024 09:03 utccategory: ecommerce website developmentskills:web development,     page speed optimization,     search engine optimization,     shopify templates,     html,     css,     shopify,     ecommerce website de..."
17,i need a logo designer who can create a simple minimalist design for   my company,"i need a minimalist logo design for my company. logo should be unique and don't copy from others. do yourselfbudget: $20posted on: february 17, 2024 09:03 utccategory: brand identity designskills:graphic design,     minimalist,     adobe illustratorskills:        graphic design,                     minimalist,                     adobe illustratorcountry: bangladeshclick to apply",Bangladesh,20,0,0,FALSE,"i need a logo designer who can create a simple minimalist design for   my company i need a minimalist logo design for my company. logo should be unique and don't copy from others. do yourselfbudget: $20posted on: february 17, 2024 09:03 utccategory: brand identity designskills:graphic design,     minimalist,     adobe illustratorskills:        graphic design,                     minimalist,                     adobe illustratorcountry: bangladeshclick to apply"
18,"website design, ui/ux design","website design for the orange sky. this is a travel startup.looking for entry level designer top finish the design with in 1 month.will share you all details page description, over call.lets connecthourly range: $12.00-$30.00posted on: february 17, 2024 09:02 utccategory: ux/ui designskills:mockup,     wireframing,     responsive design,     prototyping,     user interface design,     user experience design,     mobile app design,     adobe xd,     figma,     adobe photoshopskills:        mockup,                     wireframing,                     responsive design,                     prototyping,                     user interface design,                     user experience design,                     mobile app design,                     adobe xd,                     figma,                     adobe photoshopcountry: indiaclick to apply",India,0,12,30,TRUE,"website design, ui/ux design website design for the orange sky. this is a travel startup.looking for entry level designer top finish the design with in 1 month.will share you all details page description, over call.lets connecthourly range: $12.00-$30.00posted on: february 17, 2024 09:02 utccategory: ux/ui designskills:mockup,     wireframing,     responsive design,     prototyping,     user interface design,     user experience design,     mobile app design,     adobe xd,     figma,     adobe photoshopskills:        mockup,                     wireframing,                     responsive design,                     prototyping,                     user interface design,                     user experience design,                     mobile app design,                     adobe xd,                     figma,                     adobe photoshopcountry: indiaclick to apply"
19,customer service,"we are seeking a highly motivated and skilled customer support agent with a knack for design to join our dynamic team. this role is perfect for someone who thrives in a fast-paced environment and is comfortable using email and phone support to assist our clients. the ideal candidate will have a strong background in customer service, with added experience in design, allowing them to not only solve problems but also to participate in client meetings, gather project requirements, and update project management tools.key responsibilities:- provide exceptional customer support through email and phone, ensuring client satisfaction and retention.- attend client meetings to understand and gather requirements for their design projects.- update project statuses and manage tasks using project management tools such as monday.com or clickup.- collaborate with the team via slack and participate in video meetings through zoom as required.- utilize hubspot for customer relationship management, ensuring a seamless and effic...",Canada,0,4,8,TRUE,"customer service we are seeking a highly motivated and skilled customer support agent with a knack for design to join our dynamic team. this role is perfect for someone who thrives in a fast-paced environment and is comfortable using email and phone support to assist our clients. the ideal candidate will have a strong background in customer service, with added experience in design, allowing them to not only solve problems but also to participate in client meetings, gather project requirements, and update project management tools.key responsibilities:- provide exceptional customer support through email and phone, ensuring client satisfaction and retention.- attend client meetings to understand and gather requirements for their design projects.- update project statuses and manage tasks using project management tools such as monday.com or clickup.- collaborate with the team via slack and participate in video meetings through zoom as required.- utilize hubspot for customer relationship management, ensuring a s..."
20,promo video for game,"we need a game promo video / trailer to be produced for an upcoming game.desired length: 45secsattached here-in are the below assets:- cinematics (you can use whichever you like, and can also add effects to give it a better look)- ingame footage (some of this can be shown in the side in a frame)- developer logo (can be presented at start of the game)- game logo (can be animated)- mascot character- game icondownload link: https://drive.google.com/file/d/1qq2x0wqrrmh0ixgsu1qzshbynx3c6g4p/view?usp=drive_linkyou can add some creative texts like :&quot;be the boss of the skies in airport boss&quot;&quot;board the passengers like a boss&quot;&quot;fly high with the ultimate airport management experience!&quot;&quot;from tarmac to terminal: your airport, your rule!&quot;&quot;board the passengers to their flights&quot;&quot;releasing on march 20, 2024&quot;budget: $100posted on: february 17, 2024 09:01 utccategory: video productionskills:animation,     adobe after effects,     trailer,     video production,     v...",India,100,0,0,FALSE,"promo video for game we need a game promo video / trailer to be produced for an upcoming game.desired length: 45secsattached here-in are the below assets:- cinematics (you can use whichever you like, and can also add effects to give it a better look)- ingame footage (some of this can be shown in the side in a frame)- developer logo (can be presented at start of the game)- game logo (can be animated)- mascot character- game icondownload link: https://drive.google.com/file/d/1qq2x0wqrrmh0ixgsu1qzshbynx3c6g4p/view?usp=drive_linkyou can add some creative texts like :&quot;be the boss of the skies in airport boss&quot;&quot;board the passengers like a boss&quot;&quot;fly high with the ultimate airport management experience!&quot;&quot;from tarmac to terminal: your airport, your rule!&quot;&quot;board the passengers to their flights&quot;&quot;releasing on march 20, 2024&quot;budget: $100posted on: february 17, 2024 09:01 utccategory: video productionskills:animation,     adobe after effects,     trailer,     vi..."
21,report analysis,"a report related to &quot;risk assessment&quot; that requires someone's skills to review and edit it. the work may require two hours.hourly range: $15.00-$30.00posted on: february 17, 2024 09:00 utccategory: it complianceskills:risk assessment,     data analysis,     risk management,     report writingskills:        risk assessment,                     data analysis,                     risk management,                     report writingcountry: saudi arabiaclick to apply",Saudi Arabia,0,15,30,TRUE,"report analysis a report related to &quot;risk assessment&quot; that requires someone's skills to review and edit it. the work may require two hours.hourly range: $15.00-$30.00posted on: february 17, 2024 09:00 utccategory: it complianceskills:risk assessment,     data analysis,     risk management,     report writingskills:        risk assessment,                     data analysis,                     risk management,                     report writingcountry: saudi arabiaclick to apply"
22,mechanical engineer / 3d model - planetary gear mixer,"this should be a simple project to create a 3d model of a component for a mixer with planetary gear. there is one overhead motor. it needs to drive a mixing blade that both spins in it's own small circle (planet gear) as well as rotates around the pan. this is very similar to a kitchenaid stand mixer with the exception that the the mixing blade should be at a 45-degree angle. i think it would be similar to the morphy richards mixstar except the motor is from overhead rather than under the pan.i can provide full details including reference pictures and dimensions.--  output: looking for 3d models as output.--  turnaround: prefer a few days to a week.posted on: february 17, 2024 08:58 utccategory: mechanical engineeringskills:cad,     3d modeling,     mechanical engineering,     mechanical designskills:        cad,                     3d modeling,                     mechanical engineering,                     mechanical designcountry: australiaclick to apply",Australia,0,0,0,null,"mechanical engineer / 3d model - planetary gear mixer this should be a simple project to create a 3d model of a component for a mixer with planetary gear. there is one overhead motor. it needs to drive a mixing blade that both spins in it's own small circle (planet gear) as well as rotates around the pan. this is very similar to a kitchenaid stand mixer with the exception that the the mixing blade should be at a 45-degree angle. i think it would be similar to the morphy richards mixstar except the motor is from overhead rather than under the pan.i can provide full details including reference pictures and dimensions.--  output: looking for 3d models as output.--  turnaround: prefer a few days to a week.posted on: february 17, 2024 08:58 utccategory: mechanical engineeringskills:cad,     3d modeling,     mechanical engineering,     mechanical designskills:        cad,                     3d modeling,                     mechanical engineering,                     mechanical designcountry: australiaclick to a..."
23,i'm looking for a person who knows how to write algorithms in the chrome browser extension,"write an extension for the chrome browser to work with the site only sofascore, using a step-by-step algorithm for selecting files. the main thing is that the server does not reset our extension in a month....budget: $200posted on: february 17, 2024 08:58 utccategory: full stack developmentskills:javascript,     html,     node.js,     google chrome extensionskills:        javascript,                     html,                     node.js,                     google chrome extensioncountry: ukraineclick to apply",Ukraine,200,0,0,FALSE,"i'm looking for a person who knows how to write algorithms in the chrome browser extension write an extension for the chrome browser to work with the site only sofascore, using a step-by-step algorithm for selecting files. the main thing is that the server does not reset our extension in a month....budget: $200posted on: february 17, 2024 08:58 utccategory: full stack developmentskills:javascript,     html,     node.js,     google chrome extensionskills:        javascript,                     html,                     node.js,                     google chrome extensioncountry: ukraineclick to apply"
24,linkedin ads coach,"hi there, i need a linkedin ads coach to work with me on managing a linkedin ads campaign for one of my clients. need help with the whole process from creating a content calendar, managing the content creation, to creating the campaigns, to optimizing the campaigns, to reporting on those campaigns. the ad account i'm managing is for a financial services tech company that provides trading and clearing services for banks and other financial institutions.  its been in the news recently. the goal of the campaign is to 1. promote their content to relevant audience and 2. grow their following to 10,000 (we are starting from 0).  relevant audience: small and medium sized banks, brokerages, some insurance firms and some hedge funds. please only apply if you are an expert and are willing to teach me and collaborate on this, and if you have availability to meet on the weekends.hourly range: $15.00-$50.00posted on: february 17, 2024 08:56 utccategory: campaign managementskills:social media advertising,     conversion...",United States,0,15,50,TRUE,"linkedin ads coach hi there, i need a linkedin ads coach to work with me on managing a linkedin ads campaign for one of my clients. need help with the whole process from creating a content calendar, managing the content creation, to creating the campaigns, to optimizing the campaigns, to reporting on those campaigns. the ad account i'm managing is for a financial services tech company that provides trading and clearing services for banks and other financial institutions.  its been in the news recently. the goal of the campaign is to 1. promote their content to relevant audience and 2. grow their following to 10,000 (we are starting from 0).  relevant audience: small and medium sized banks, brokerages, some insurance firms and some hedge funds. please only apply if you are an expert and are willing to teach me and collaborate on this, and if you have availability to meet on the weekends.hourly range: $15.00-$50.00posted on: february 17, 2024 08:56 utccategory: campaign managementskills:social media advertis..."
25,full stack developer,"full stack developer to build a website using php and ph frameworksbudget: $5posted on: february 17, 2024 08:56 utccategory: full stack developmentskills:web development,     html,     web application,     php,     javascriptskills:        web development,                     html,                     web application,                     php,                     javascriptcountry: indiaclick to apply",India,5,0,0,FALSE,"full stack developer full stack developer to build a website using php and ph frameworksbudget: $5posted on: february 17, 2024 08:56 utccategory: full stack developmentskills:web development,     html,     web application,     php,     javascriptskills:        web development,                     html,                     web application,                     php,                     javascriptcountry: indiaclick to apply"
